City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
321,Nago,IT,84.99,clear sky,45.88,10.89,Garnì Francesco
322,Vila Do Maio,CV,84.2,broken clouds,15.13,-23.22,Residencial Jardins De Maio
324,Velizh,RU,61.93,broken clouds,55.61,31.2,Энергетик
325,Porto Velho,BR,89.6,smoke,-8.75,-63.87,Vilhema
327,Soubre,CI,72.91,moderate rain,5.79,-6.61,Hotel Mognissan
328,Marquette,US,69.8,light rain,46.54,-87.4,Ramada by Wyndham Marquette
329,Guerrero Negro,MX,72.01,clear sky,27.97,-114.04,Plaza sal paraiso
330,Nara,JP,77.0,few clouds,34.68,135.8,ホテルアジール・奈良アネックス
331,Santa Marta,CO,89.6,scattered clouds,11.24,-74.21,Brisas del mar
333,Rio Grande,BR,69.8,clear sky,-32.03,-52.1,Hotel Swan Expres
337,Skibbereen,IE,60.8,broken clouds,51.55,-9.27,West Cork Hotel
340,Krasnoarmeysk,RU,70.0,clear sky,56.12,38.15,Гостиница АО КНИИМ
342,Los Llanos De Aridane,ES,77.0,broken clouds,28.66,-17.92,Valle Aridane
345,Santa Rosa,AR,76.33,broken clouds,-36.62,-64.29,San Martín
354,Camacha,PT,73.4,few clouds,33.08,-16.33,Praia Dourada
356,Axim,GH,75.97,scattered clouds,4.87,-2.24,Axim Beach Hotel
359,Santa Cecilia,CR,84.2,clear sky,9.85,-84.31,Hotel Las Águilas
361,Denpasar,ID,75.2,few clouds,-8.65,115.22,Bali Kepundung Hotel
362,San Ramon,NI,78.8,scattered clouds,12.92,-85.84,Hotel y Restaurante Las Orquideas
364,Ambilobe,MG,73.63,broken clouds,-13.19,49.05,Le Noor Hôtel
368,Chibuto,MZ,72.91,clear sky,-24.69,33.53,DESHENG
371,North Bend,US,68.0,clear sky,43.41,-124.22,The Mill Casino Hotel
375,Moche,PE,66.2,broken clouds,-8.17,-79.01,Hotel Golf y Country Club
377,Wattegama,LK,73.99,broken clouds,7.35,80.68,Simpson's Forest Hotel
380,Sinnar,IN,70.75,light rain,19.85,74.0,Panchavati Motel
381,Gulfport,US,78.8,moderate rain,30.37,-89.09,Wingate by Wyndham Gulfport
383,Kahului,US,78.8,light rain,20.89,-156.47,Maui Seaside Hotel
385,Dakar,SN,82.4,light rain,14.69,-17.45,Wakola
388,Sambava,MG,64.27,broken clouds,-14.27,50.17,Pacifique
390,Sao Jose Da Coroa Grande,BR,76.69,light rain,-8.9,-35.15,Hotel do Sol
394,Formosa,BR,82.45,scattered clouds,-15.55,-47.33,Hotel Fama
397,Presidencia Roque Saenz Pena,AR,83.35,few clouds,-26.79,-60.44,Internacional
404,Tome,JP,62.83,overcast clouds,38.69,141.2,旅館 大盛館
408,Isangel,VU,71.83,light rain,-19.55,169.27,Tanna Lodge
