City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather description
107,Poum,-20.2333,164.0167,80.47,78,9,11.34,NC,clear sky
108,Bahia Blanca,-38.7196,-62.2724,73.29,70,100,1.99,AR,overcast clouds
109,Katsuura,35.1333,140.3,41.04,52,1,33.4,JP,clear sky
110,Naberera,-4.2,36.9333,70.38,68,100,11.86,TZ,light rain
111,Buluang,13.3068,123.3425,74.25,90,93,10.51,PH,overcast clouds
112,Alyangula,-13.8483,136.4192,83.75,79,100,13.71,AU,overcast clouds
113,Tallahassee,30.4383,-84.2807,40.86,37,0,26.46,US,clear sky
114,Perivolion,39.4206,20.0147,60.35,65,87,0.65,GR,overcast clouds
115,Kommunar,59.6206,30.39,33.44,99,100,7.27,RU,overcast clouds
116,Namanyere,-7.5167,31.05,61.79,97,100,4.09,TZ,overcast clouds
117,Komsomolskiy,40.4272,71.7189,32.72,93,75,4.61,UZ,fog
118,Champerico,14.3,-91.9167,82.94,69,1,5.55,GT,clear sky
119,Rockland,41.1668,-74.0496,48.97,88,100,7.0,US,overcast clouds
120,Huarmey,-10.0681,-78.1522,72.97,79,30,9.17,PE,scattered clouds
121,Arraial Do Cabo,-22.9661,-42.0278,76.86,65,75,6.91,BR,broken clouds
122,Meulaboh,4.1363,96.1285,78.26,85,96,2.15,ID,overcast clouds
123,Panzhihua,26.5851,101.7128,49.87,84,8,2.64,CN,clear sky
124,Paamiut,61.994,-49.6678,11.73,59,0,7.83,GL,clear sky
125,Hun,29.1268,15.9477,64.98,47,12,16.73,LY,few clouds
126,Erenhot,43.6475,111.9767,4.14,64,0,5.39,CN,clear sky
127,Voznesenye,61.0106,35.4781,32.04,100,100,2.71,RU,light snow
128,Yumen,40.2833,97.2,15.08,73,44,3.09,CN,scattered clouds
129,Kaeo,-35.1,173.7833,56.32,92,99,3.42,NZ,overcast clouds
130,Kaitangata,-46.2817,169.8464,53.35,94,100,4.16,NZ,overcast clouds
131,Port Augusta,-32.5,137.7667,68.27,70,0,13.71,AU,clear sky
132,Dubai,25.2582,55.3047,76.93,53,0,9.22,AE,clear sky
133,Chuy,-33.6971,-53.4616,80.28,46,91,12.28,UY,overcast clouds
134,Cabinda,-5.55,12.2,79.99,76,56,7.7,AO,broken clouds
135,Nome,64.5011,-165.4064,25.16,46,0,26.46,US,clear sky
136,Banda Aceh,5.5577,95.3222,78.84,81,30,6.46,ID,scattered clouds
137,Anklam,53.8564,13.6897,41.22,90,93,5.86,DE,overcast clouds
138,Bambous Virieux,-20.3428,57.7575,79.21,68,94,10.38,MU,overcast clouds
139,Salina Cruz,16.1667,-95.2,79.23,64,2,18.92,MX,clear sky
140,Birjand,32.8663,59.2211,42.06,33,49,3.65,IR,scattered clouds
141,Campos Gerais,-21.235,-45.7586,75.07,62,94,5.95,BR,overcast clouds
142,Saldanha,-33.0117,17.9442,67.17,83,100,10.63,ZA,overcast clouds
143,Buala,-8.145,159.5921,78.46,84,100,4.7,SB,light rain
144,Tarquinia,42.2482,11.7553,61.81,73,4,6.82,IT,clear sky
145,Georgetown,5.4112,100.3354,83.89,78,20,0.0,MY,few clouds
146,Kruisfontein,-34.0033,24.7314,64.89,61,60,8.12,ZA,light rain
147,Isla Mujeres,21.2311,-86.731,75.25,78,4,0.85,MX,light rain
148,Juba,4.8517,31.5825,94.55,19,98,6.46,SS,overcast clouds
149,Oyama,36.3,139.8,41.59,25,0,9.93,JP,clear sky
150,Porbandar,21.6422,69.6093,70.38,36,0,12.17,IN,clear sky
151,San Cristobal,7.7669,-72.225,78.98,48,34,6.93,VE,scattered clouds
152,Kandava,57.0409,22.7747,37.27,95,100,7.94,LV,overcast clouds
153,Ust-Koksa,50.2696,85.6108,-11.16,95,51,0.89,RU,broken clouds
154,Lauria,40.0465,15.8358,52.61,85,74,2.28,IT,broken clouds
155,Yerbogachen,61.2767,108.0108,-13.76,92,35,7.76,RU,scattered clouds
156,Yellowknife,62.456,-114.3525,-26.36,97,100,6.85,CA,overcast clouds
157,Thompson,55.7435,-97.8558,-15.48,87,27,8.68,CA,scattered clouds
158,Digby,44.6169,-65.7655,39.58,87,100,29.75,CA,overcast clouds
159,Udimskiy,61.1417,45.9144,31.23,96,100,7.38,RU,overcast clouds
160,Beipiao,41.7919,120.7792,15.03,37,96,13.71,CN,overcast clouds
161,Khandbari,27.3747,87.2039,52.66,81,3,2.8,NP,clear sky
162,Kurilsk,45.2333,147.8833,33.26,98,100,12.86,RU,snow
163,Beitbridge,-22.2167,30.0,89.46,20,0,7.67,ZW,clear sky
164,Hilo,19.7297,-155.09,71.26,85,75,5.75,US,broken clouds
165,Farnworth,53.55,-2.4,44.82,94,100,8.41,GB,overcast clouds
166,Fiumicino,41.7675,12.2291,63.66,72,0,4.61,IT,clear sky
167,Leningradskiy,69.3833,178.4167,-0.56,80,2,4.12,RU,clear sky
168,Cam Ranh,11.9214,109.1591,73.36,64,20,16.11,VN,few clouds
169,Ucluelet,48.9329,-125.5528,33.87,95,100,16.06,CA,snow
170,Millville,39.4021,-75.0393,48.99,87,100,9.22,US,mist
171,Bayan,46.0833,127.4,0.19,96,45,6.33,CN,scattered clouds
172,Baykit,61.67,96.37,-28.21,100,84,1.25,RU,broken clouds
173,Broome,42.2506,-75.833,42.85,88,100,12.66,US,moderate rain
174,Esna,25.2934,32.554,63.27,47,3,13.06,EG,clear sky
175,Somerset,40.5668,-74.5496,48.83,87,100,11.5,US,overcast clouds
176,Lopatino,52.6195,45.8118,33.01,83,100,10.49,RU,overcast clouds
177,Margate,51.3813,1.3862,54.9,92,95,7.0,GB,overcast clouds
178,Cap Malheureux,-19.9842,57.6142,79.47,65,69,5.01,MU,broken clouds
179,Chokurdakh,70.6333,147.9167,-14.55,88,2,4.45,RU,clear sky
